campaign_name,ad_group_name,rsa_variant,final_url,asset_type,text,pinned_position
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY PLLC Formation – $885 Flat,1
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Start Your NY PLLC This Week,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,"Your PLLC, Filed Right",
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,We Handle the NYSED Process,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Done-For-You OP Packet,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Licensed Pro? Form Your PLLC,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Rated 5 Stars on Google,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NYSED & DOS Filing Handled,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Publication Included,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,EIN & Operating Agreement Inc,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Everything Included. One Fee,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,120-Day Publication Managed,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Registered Agent Yr 1 Free,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Flat Fee — No Hidden Costs,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Talk to a PLLC Specialist,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"NY PLLC formation: NYSED approval, DOS filing, publication, EIN & OA. $885 flat.",
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"We prepare your NYSED packet, file with the DOS, and manage publication. One flat fee.",
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,Specialists who only do New York professional entities. No hourly attorney fees.,
01_Core_Exact_NY,Formation-Core,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"Includes registered agent year one, EIN, operating agreement & certificate of publication.",
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY PLLC Formation – $885 Flat,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Start Your NY PLLC This Week,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,"Your PLLC, Filed Right",
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,We Handle the NYSED Process,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Done-For-You OP Packet,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Licensed Pro? Form Your PLLC,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Rated 5 Stars on Google,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NYSED & DOS Filing Handled,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Publication Included,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,EIN & Operating Agreement Inc,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Everything Included. One Fee,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,120-Day Publication Managed,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Registered Agent Yr 1 Free,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Flat Fee — No Hidden Costs,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Talk to a PLLC Specialist,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"NY PLLC formation: NYSED approval, DOS filing, publication, EIN & OA. $885 flat.",
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"We prepare your NYSED packet, file with the DOS, and manage publication. One flat fee.",
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,Specialists who only do New York professional entities. No hourly attorney fees.,
01_Core_Exact_NY,Formation-Core,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"Includes registered agent year one, EIN, operating agreement & certificate of publication.",
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY PLLC Formation – $885 Flat,1
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Everything Included. One Fee,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NYSED & DOS Filing Handled,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,We Handle the NYSED Process,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Done-For-You OP Packet,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Talk to a PLLC Specialist,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Deficiency Handling Included,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Publication Included,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,EIN & Operating Agreement Inc,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Registered Agent Yr 1 Free,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Flat Fee — No Hidden Costs,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Rated 5 Stars on Google,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Licensed Pro? Form Your PLLC,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Start Your NY PLLC This Week,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY Professional Entity Pros,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"NY PLLC formation: NYSED approval, DOS filing, publication, EIN & OA. $885 flat.",
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"We prepare your NYSED packet, file with the DOS, and manage publication. One flat fee.",
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,Specialists who only do New York professional entities. No hourly attorney fees.,
01_Core_Exact_NY,Service-Intent,controlled,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"Includes registered agent year one, EIN, operating agreement & certificate of publication.",
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY PLLC Formation – $885 Flat,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Everything Included. One Fee,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NYSED & DOS Filing Handled,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,We Handle the NYSED Process,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Done-For-You OP Packet,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Talk to a PLLC Specialist,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Deficiency Handling Included,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Publication Included,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,EIN & Operating Agreement Inc,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Registered Agent Yr 1 Free,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Flat Fee — No Hidden Costs,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Rated 5 Stars on Google,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Licensed Pro? Form Your PLLC,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,Start Your NY PLLC This Week,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,headline,NY Professional Entity Pros,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"NY PLLC formation: NYSED approval, DOS filing, publication, EIN & OA. $885 flat.",
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"We prepare your NYSED packet, file with the DOS, and manage publication. One flat fee.",
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,Specialists who only do New York professional entities. No hourly attorney fees.,
01_Core_Exact_NY,Service-Intent,unpinned,https://www.nypllc.com/how-to-form-a-pllc-in-ny,description,"Includes registered agent year one, EIN, operating agreement & certificate of publication.",
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,NY PLLC Formation – $885 Flat,1
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Flat Fee — No Hidden Costs,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Everything Included. One Fee,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Publication Included,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,EIN & Operating Agreement Inc,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Registered Agent Yr 1 Free,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,NYSED & DOS Filing Handled,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Thousands of NY Entities,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Start Your NY PLLC This Week,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,120-Day Publication Managed,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Deficiency Handling Included,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,S Corp Election Available,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Rated 5 Stars on Google,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,Talk to a PLLC Specialist,
01_Core_Exact_NY,Cost-Price,controlled,https://www.nypllc.com/order,headline,"Your PLLC, Filed Right",
