segments.date,segments.device,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-08-30,DESKTOP,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-08-30,DESKTOP,Sales-Search-1,33,1,0.030303030303030304,6610000.0,6610000,0.0
2026-08-30,MOBILE,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-08-30,MOBILE,Sales-Search-1,9,1,0.1111111111111111,2680000.0,2680000,0.0
2026-08-31,DESKTOP,01_Core_Exact_NY,23,1,0.043478260869565216,8160000.0,8160000,0.0
2026-08-31,DESKTOP,Sales-Search-1,74,9,0.12162162162162163,11651111.111111112,104860000,1.0
2026-08-31,MOBILE,01_Core_Exact_NY,12,4,0.3333333333333333,4542500.0,18170000,0.0
2026-08-31,MOBILE,Sales-Search-1,21,1,0.047619047619047616,4560000.0,4560000,0.0
2026-08-31,TABLET,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-08-31,TABLET,Sales-Search-1,2,0,0.0,0.0,0,0.0
2026-09-01,DESKTOP,01_Core_Exact_NY,22,3,0.13636363636363635,9966666.666666666,29900000,1.5
2026-09-01,DESKTOP,02_Professions_NY,4,1,0.25,8830000.0,8830000,0.0
2026-09-01,DESKTOP,Sales-Search-1,72,4,0.05555555555555555,18525000.0,74100000,1.5
2026-09-01,MOBILE,01_Core_Exact_NY,7,0,0.0,0.0,0,0.0
2026-09-01,MOBILE,02_Professions_NY,2,0,0.0,0.0,0,0.0
2026-09-01,MOBILE,Sales-Search-1,31,3,0.0967741935483871,5860000.0,17580000,0.228135
2026-09-02,DESKTOP,01_Core_Exact_NY,19,2,0.10526315789473684,9335000.0,18670000,0.0
2026-09-02,DESKTOP,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-02,DESKTOP,Sales-Search-1,60,1,0.016666666666666666,33400000.0,33400000,0.0
2026-09-02,MOBILE,01_Core_Exact_NY,4,0,0.0,0.0,0,0.0
2026-09-02,MOBILE,Sales-Search-1,28,2,0.07142857142857142,2099576.0,4199152,0.0
2026-09-03,DESKTOP,01_Core_Exact_NY,18,2,0.1111111111111111,9480000.0,18960000,0.0
2026-09-03,DESKTOP,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-03,DESKTOP,Sales-Search-1,73,9,0.1232876712328767,13155555.555555556,118400000,0.0
2026-09-03,MOBILE,01_Core_Exact_NY,6,0,0.0,0.0,0,0.0
2026-09-03,MOBILE,02_Professions_NY,2,1,0.5,3900000.0,3900000,0.0
2026-09-03,MOBILE,Sales-Search-1,29,1,0.034482758620689655,9600000.0,9600000,0.0
2026-09-04,DESKTOP,01_Core_Exact_NY,24,5,0.20833333333333334,17930000.0,89650000,0.0
2026-09-04,DESKTOP,Sales-Search-1,66,8,0.12121212121212122,17690000.0,141520000,1.771865
2026-09-04,MOBILE,01_Core_Exact_NY,6,0,0.0,0.0,0,0.0
2026-09-04,MOBILE,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-04,MOBILE,Sales-Search-1,17,1,0.058823529411764705,9820000.0,9820000,0.0
2026-09-05,DESKTOP,01_Core_Exact_NY,12,0,0.0,0.0,0,0.0
2026-09-05,DESKTOP,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-05,DESKTOP,Sales-Search-1,16,1,0.0625,6320000.0,6320000,0.0
2026-09-05,MOBILE,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-09-05,MOBILE,Sales-Search-1,7,0,0.0,0.0,0,0.0
