segments.date,segments.device,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-06-07,DESKTOP,Sales-Search-1,21,1,0.047619047619047616,2580000.0,2580000,0.0
2026-06-07,MOBILE,Sales-Search-1,10,1,0.1,1674845.0,1674845,0.0
2026-06-08,DESKTOP,Sales-Search-1,52,8,0.15384615384615385,11050422.875,88403383,2.0
2026-06-08,MOBILE,Sales-Search-1,27,5,0.18518518518518517,4224342.2,21121711,0.0
2026-06-09,DESKTOP,Sales-Search-1,67,6,0.08955223880597014,9597960.666666666,57587764,1.0
2026-06-09,MOBILE,Sales-Search-1,33,0,0.0,0.0,0,0.0
2026-06-10,DESKTOP,Sales-Search-1,63,3,0.047619047619047616,6790000.0,20370000,1.0
2026-06-10,MOBILE,Sales-Search-1,38,2,0.05263157894736842,3451610.0,6903220,0.0
2026-06-11,DESKTOP,Sales-Search-1,66,2,0.030303030303030304,1222827.0,2445654,0.0
2026-06-11,MOBILE,Sales-Search-1,38,5,0.13157894736842105,4313358.0,21566790,0.0
2026-06-11,TABLET,Sales-Search-1,2,0,0.0,0.0,0,0.0
2026-06-12,DESKTOP,Sales-Search-1,41,4,0.0975609756097561,5778554.5,23114218,1.0
2026-06-12,MOBILE,Sales-Search-1,17,4,0.23529411764705882,3074835.75,12299343,0.0
2026-06-13,DESKTOP,Sales-Search-1,18,2,0.1111111111111111,11780000.0,23560000,0.0
2026-06-13,MOBILE,Sales-Search-1,12,2,0.16666666666666666,7295000.0,14590000,1.0
2026-06-14,DESKTOP,Sales-Search-1,22,1,0.045454545454545456,7130000.0,7130000,0.0
2026-06-14,MOBILE,Sales-Search-1,21,3,0.14285714285714285,4259809.333333333,12779428,0.0
2026-06-14,TABLET,Sales-Search-1,3,0,0.0,0.0,0,0.0
2026-06-15,DESKTOP,Sales-Search-1,89,3,0.033707865168539325,12050000.0,36150000,0.0
2026-06-15,MOBILE,Sales-Search-1,42,2,0.047619047619047616,8435000.0,16870000,0.0
2026-06-16,DESKTOP,Sales-Search-1,76,9,0.11842105263157894,12559365.111111112,113034286,1.0
2026-06-16,MOBILE,Sales-Search-1,34,2,0.058823529411764705,4410000.0,8820000,1.0
2026-06-17,DESKTOP,Sales-Search-1,106,6,0.05660377358490566,8849593.333333334,53097560,1.0
2026-06-17,MOBILE,Sales-Search-1,48,5,0.10416666666666667,9656000.0,48280000,1.0
2026-06-18,DESKTOP,Sales-Search-1,87,3,0.034482758620689655,6476666.666666667,19430000,0.0
2026-06-18,MOBILE,Sales-Search-1,51,6,0.11764705882352941,13083259.666666666,78499558,1.666666
2026-06-19,DESKTOP,Sales-Search-1,20,0,0.0,0.0,0,0.0
2026-06-19,MOBILE,Sales-Search-1,22,2,0.09090909090909091,3490000.0,6980000,0.333334
2026-06-20,DESKTOP,Sales-Search-1,21,0,0.0,0.0,0,0.0
2026-06-20,MOBILE,Sales-Search-1,7,1,0.14285714285714285,6260000.0,6260000,0.0
2026-06-21,DESKTOP,Sales-Search-1,29,5,0.1724137931034483,13029273.2,65146366,0.0
2026-06-21,MOBILE,Sales-Search-1,20,0,0.0,0.0,0,0.0
2026-06-21,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-06-22,DESKTOP,Sales-Search-1,64,0,0.0,0.0,0,0.0
2026-06-22,MOBILE,Sales-Search-1,19,2,0.10526315789473684,3650000.0,7300000,0.0
2026-06-23,DESKTOP,Sales-Search-1,87,9,0.10344827586206896,13082658.222222222,117743924,2.0
2026-06-23,MOBILE,Sales-Search-1,15,3,0.2,4806666.666666667,14420000,0.0
2026-06-23,TABLET,Sales-Search-1,1,1,1.0,4590000.0,4590000,1.0
2026-06-24,DESKTOP,Sales-Search-1,102,9,0.08823529411764706,11485492.444444444,103369432,1.0
2026-06-24,MOBILE,Sales-Search-1,35,4,0.11428571428571428,4115000.0,16460000,0.0
2026-06-25,DESKTOP,Sales-Search-1,60,3,0.05,17483333.333333332,52450000,0.0
2026-06-25,MOBILE,Sales-Search-1,20,0,0.0,0.0,0,0.0
2026-06-26,DESKTOP,Sales-Search-1,67,4,0.05970149253731343,6702562.0,26810248,1.0
2026-06-26,MOBILE,Sales-Search-1,22,4,0.18181818181818182,5020000.0,20080000,0.0
2026-06-27,DESKTOP,Sales-Search-1,19,1,0.05263157894736842,10550000.0,10550000,0.0
2026-06-27,MOBILE,Sales-Search-1,22,1,0.045454545454545456,4730000.0,4730000,0.0
2026-06-28,DESKTOP,Sales-Search-1,25,1,0.04,17130000.0,17130000,1.0
2026-06-28,MOBILE,Sales-Search-1,13,1,0.07692307692307693,11020000.0,11020000,0.0
2026-06-28,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-06-29,DESKTOP,Sales-Search-1,104,14,0.1346153846153846,15377421.785714285,215283905,3.0
2026-06-29,MOBILE,Sales-Search-1,42,0,0.0,0.0,0,0.0
2026-06-29,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-06-30,DESKTOP,Sales-Search-1,79,3,0.0379746835443038,8826666.666666666,26480000,0.5
2026-06-30,MOBILE,Sales-Search-1,28,5,0.17857142857142858,8041024.4,40205122,0.0
2026-07-01,DESKTOP,Sales-Search-1,99,7,0.0707070707070707,9751428.57142857,68260000,0.5
2026-07-01,MOBILE,Sales-Search-1,29,1,0.034482758620689655,3980000.0,3980000,0.0
