segments.date,segments.device,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-09-07,DESKTOP,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-09-07,DESKTOP,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-07,DESKTOP,Sales-Search-1,27,1,0.037037037037037035,9080000.0,9080000,0.0
2026-09-07,MOBILE,01_Core_Exact_NY,8,0,0.0,0.0,0,0.0
2026-09-07,MOBILE,Sales-Search-1,16,0,0.0,0.0,0,0.0
2026-09-08,DESKTOP,01_Core_Exact_NY,38,3,0.07894736842105263,10070000.0,30210000,2.0
2026-09-08,DESKTOP,Sales-Search-1,69,6,0.08695652173913043,9979843.0,59879058,0.0
2026-09-08,MOBILE,01_Core_Exact_NY,10,2,0.2,1565000.0,3130000,0.0
2026-09-08,MOBILE,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-08,MOBILE,Sales-Search-1,19,1,0.05263157894736842,2360000.0,2360000,0.0
2026-09-08,TABLET,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-09-08,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-09-09,DESKTOP,01_Core_Exact_NY,16,3,0.1875,5870000.0,17610000,0.0
2026-09-09,DESKTOP,Sales-Search-1,95,5,0.05263157894736842,9899440.0,49497200,1.0
2026-09-09,MOBILE,01_Core_Exact_NY,11,2,0.18181818181818182,2695000.0,5390000,0.0
2026-09-09,MOBILE,Sales-Search-1,44,2,0.045454545454545456,2925000.0,5850000,0.0
2026-09-10,DESKTOP,01_Core_Exact_NY,17,1,0.058823529411764705,8160000.0,8160000,0.0
2026-09-10,DESKTOP,02_Professions_NY,5,0,0.0,0.0,0,0.0
2026-09-10,DESKTOP,Sales-Search-1,106,11,0.10377358490566038,13050000.0,143550000,0.0
2026-09-10,MOBILE,01_Core_Exact_NY,13,0,0.0,0.0,0,0.0
2026-09-10,MOBILE,02_Professions_NY,1,0,0.0,0.0,0,0.0
2026-09-10,MOBILE,Sales-Search-1,29,0,0.0,0.0,0,0.0
2026-09-11,DESKTOP,01_Core_Exact_NY,24,2,0.08333333333333333,14840000.0,29680000,0.0
2026-09-11,DESKTOP,02_Professions_NY,2,0,0.0,0.0,0,0.0
2026-09-11,DESKTOP,Sales-Search-1,100,11,0.11,11362658.727272727,124989246,1.884387
2026-09-11,MOBILE,01_Core_Exact_NY,10,0,0.0,0.0,0,0.0
2026-09-11,MOBILE,Sales-Search-1,38,1,0.02631578947368421,4100000.0,4100000,0.0
2026-09-11,TABLET,Sales-Search-1,4,0,0.0,0.0,0,0.0
2026-09-12,DESKTOP,01_Core_Exact_NY,9,0,0.0,0.0,0,0.0
2026-09-12,DESKTOP,Sales-Search-1,32,3,0.09375,14563333.333333334,43690000,0.0
2026-09-12,MOBILE,01_Core_Exact_NY,10,0,0.0,0.0,0,0.0
2026-09-12,MOBILE,Sales-Search-1,31,3,0.0967741935483871,8156666.666666667,24470000,0.0
2026-09-13,DESKTOP,01_Core_Exact_NY,21,4,0.19047619047619047,13202500.0,52810000,0.0
2026-09-13,DESKTOP,Sales-Search-1,43,1,0.023255813953488372,13280000.0,13280000,0.0
2026-09-13,MOBILE,01_Core_Exact_NY,4,0,0.0,0.0,0,0.0
2026-09-13,MOBILE,Sales-Search-1,23,5,0.21739130434782608,4814000.0,24070000,0.0
